# TOPAS Version: 3.9
# Parameter File: UITF2-10M-back.txt
# Results for scorer: LETt_Depth
# Scored in component: TargetSlab2D
# R in 1 bin  of 1.42 cm
# Phi in 1 bin  of 360 deg
# Z in 65 bins of 0.1 cm
# Fluence ( /mm2 ) : Sum   
0, 0, 0, 157494.21875
0, 0, 1, 158058.625
0, 0, 2, 158338.1875
0, 0, 3, 158510.78125
0, 0, 4, 158635.390625
0, 0, 5, 158712.46875
0, 0, 6, 158761.65625
0, 0, 7, 158791.21875
0, 0, 8, 158798.75
0, 0, 9, 158792.296875
0, 0, 10, 158774.421875
0, 0, 11, 158754.0625
0, 0, 12, 158718.203125
0, 0, 13, 158667.203125
0, 0, 14, 158610.1875
0, 0, 15, 158557.078125
0, 0, 16, 158486.28125
0, 0, 17, 158417.921875
0, 0, 18, 158341.859375
0, 0, 19, 158263.890625
0, 0, 20, 158181.4375
0, 0, 21, 158093.03125
0, 0, 22, 158007.84375
0, 0, 23, 157919.53125
0, 0, 24, 157814.4375
0, 0, 25, 157720.734375
0, 0, 26, 157621.1875
0, 0, 27, 157512.921875
0, 0, 28, 157405.375
0, 0, 29, 157301.796875
0, 0, 30, 157190.921875
0, 0, 31, 157077.890625
0, 0, 32, 156963.234375
0, 0, 33, 156849.734375
0, 0, 34, 156734.1875
0, 0, 35, 156622.671875
0, 0, 36, 156502.53125
0, 0, 37, 156377.15625
0, 0, 38, 156249.15625
0, 0, 39, 156134.296875
0, 0, 40, 156004.859375
0, 0, 41, 155884.0625
0, 0, 42, 155747.609375
0, 0, 43, 155621.984375
0, 0, 44, 155496.4375
0, 0, 45, 155358.96875
0, 0, 46, 155226.875
0, 0, 47, 155099
0, 0, 48, 154965.8125
0, 0, 49, 154839.015625
0, 0, 50, 154707.390625
0, 0, 51, 154582.265625
0, 0, 52, 154449.9375
0, 0, 53, 154320.96875
0, 0, 54, 154188.40625
0, 0, 55, 154059.234375
0, 0, 56, 153928.09375
0, 0, 57, 153802.859375
0, 0, 58, 153677.234375
0, 0, 59, 153556
0, 0, 60, 153430.953125
0, 0, 61, 153306.53125
0, 0, 62, 153196.828125
0, 0, 63, 153077.03125
0, 0, 64, 152924.234375
